Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6Y84_null,-11.6,4.291,1.951
6Y84_null,-11.4,8.479,6.901
6Y84_null,-11.1,8.392,7.159
6Y84_null,-11.1,7.118,5.587
6Y84_null,-10.8,9.35,7.608
6Y84_null,-10.5,9.14,7.489
6Y84_null,-10.4,8.116,5.556
6Y84_null,-10.3,20.272,19.877
6Y84_vigabatrin,-7.4,0.0,0.0
6Y84_vigabatrin,-7.4,10.551,10.077
6Y84_vigabatrin,-7.4,2.186,1.27
6Y84_vigabatrin,-7.2,3.625,2.685
6Y84_vigabatrin,-7.2,2.781,1.823
6Y84_vigabatrin,-6.9,2.02,1.563
6Y84_vigabatrin,-6.8,10.516,10.023
6Y84_vigabatrin,-6.5,9.863,9.603
6Y84_vigabatrin,-6.4,10.401,10.032
